word,count
SONA,65
THE,55
RT,53
TO,36
SA,34
OF,30
ANG,20
NA,19
AND,14
NG,14
5TH,13
MGA,12
FOR,11
IN,11
DUTERTES,10
DUTERTE,10
WE,9
WITH,8
PRESIDENT,8
MY,8
THAT,7
THIS,7
NI,7
2020,7
COVID19,7
MAY,6
I,6
AMP;,6
A,6
TAG,5
HIS,5
UP,5
PA,5
IS,5
ON,5
YA,4
RIN,4
YOU,4
SI,4
SONA2020,4
DI,4
RODRIGO,4
FIRST,4
STUDENT,4
PRES,4
THEY,4
ROA,4
YUNG,4
STATE,4
WAY,4
KA,4
KO,4
COUNCIL,3
EVERYONE,3
WOULD,3
ONE,3
DAPAT,3
DURING,3
KHARAASONA,3
LIKE,3
AT,3
ME,3
ITS,3
RAPPLERDOTCOM:,3
SILA,3
HER,3
ARAW,3
CONGRESS,3
IF,3
HIM,3
SONAGKAISA,3
THA,3
PRESS,3
GLOBE,3
LANG,3
OWN,3
NAMAN,3
FROM,3
BEFORE,3
HUMAN,2
ABOUT,2
HELD,2
THALAAJITH,2
WHY,2
TEST,2
21,2
TAYONG,2
GOVERNMENTS,2
BILLS,2
EVEN,2
PANGULO,2
HINDI,2
HAVE,2
WALANG,2
WERE,2
5,2
LEADER,2
HE,2
【ジェジュン】,2
NADINE,2
LA,2
PROTEST,2
REAPERSZN,2
HEALTH,2
GIVE,2
PERO,2
ACT,2
TWEET,2
ANCALERTS:,2
WAS,2
SHARES,2
ONLY,2
RESPONSE,2
MATAPOS,2
DILIMAN,2
VALIMAI,2
PARA,2
REACH,2
ZUBIRI,2
RIGHTS,2
PROVIDED,2
TOTALLY,2
LAW,2
GET,2
AKO,2
AJITHKUMAR,2
TOWERNAMBA:,2
HERE,2
CNNPHILIPPINES:,2
GMANEWS:,2
UPDATE,2
MUJHE,2
AGAIN,2
SABI,2
REQUEST,2
DISCUSSIONS,2
ALSO,2
MABUTI,2
PLEASE,2
PAGE,2
WAR,2
NANGA,2
TAPOS,2
WONT,2
BA,2
BHAI,2
KATRINADOMINGO,2
GROUPS,2
POSTSONA,2
SAAN,2
HA,2
PERSONA,2
QUE,2
|,2
FC,2
PROTESTA,2
RELATED,2
LOOK:,2
EXECUTIVE,2
AS,2
AFTER,2
AGAINST,2
YOUR,2
TAYO,2
HOGA,2
FANS,2
COVERS,2
PANDEMIC,2
DONT,2
NGAYONG,2
STEP,2
CLEAR,2
NEW,2
REACT,2
THROUGH,2
KUNG,2
WHAT,2
SIYA,2
SAID,2
SENATE,2
NATION,2
EARLIER,2
BUT,2
BAYANIHAN,2
BE,2
DRILON,2
NO,2
WAKASONA2020,2
CAN,2
TIME,2
OFWS,2
SAME,2
KU,2
KACHRA,2
TE,2
WHICH,2
NAKITA,2
KANYANG,2
PASSAGE,2
KAR,2
FRANKLIN,2
WAG,2
PRESIDENTS,2
AFTERNOON,2
MESSAGE,2
THALAAJITHFC,2
OUR,2
F…,2
COVID,2
PALA,2
MARACEPEDA,2
FULL,1
HTTPS://TCO/BC4VFGYRPQ,1
CANNOT,1
AFFECTED,1
INSURED,1
HTTPS://TCO/CSIWT3LZ3O,1
PAHINA,1
REPLAY,1
PODUVOM,1
27,1
MALIBAN,1
MARCOS:,1
LIDER,1
PO,1
REITERATE,1
ACROSS,1
FUN,1
VIOLATION,1
METHOD,1
HTTPS://TCO/Q9EER67BIZ,1
GVT,1
2019～LOVE,1
UPSYSTEM,1
RECUERDA,1
MINUTES,1
DR…,1
WOMEN,1
W/,1
DA,1
原曲の良さをひきたてるだけでなく、ジェジュンらしさも全開のアルバムです♪,1
NILOCKDOWN,1
TAB…,1
MAGBASA,1
PASAND,1
INYO,1
ATTENTIVELY,1
MARVSMODEL,1
NICEGIRL09,1
ADDRESS,1
LINGERING,1
DIOK…,1
EXPLORERHOON,1
MATOM,1
SALOT,1
BALIK,1
ACTIVISTS,1
CRITIC,1
TAMAAN,1
😌,1
LIVE…,1
TRUE,1
YONG,1
SONACSO,1
NAKALIMANG,1
DOING,1
STYLE,1
CARE,1
MIGHT,1
ISNT,1
EXTENDED,1
MIGUEL,1
AY,1
NAINSPIRE,1
PRO…,1
CAPITAL,1
CREATIVE,1
CHAIHARVEST,1
IBA,1
ENADA,1
SL,1
FASTNESS,1
LOYALSACHINFAN,1
HTTPS://TCO/AQRFUUJS0I,1
CHINESE,1
VISHALSAINIVS,1
PRESIDENCY,1
FAHMIRAZA1RAZA,1
SANIYOR,1
CON,1
ACTUALLY,1
BOYCOTT,1
DESPI…,1
MACOYDUBS1:,1
VICE,1
POLICIES,1
ANAKBAYANUST,1
ツアー映像『JJUN,1
NYA,1
READ:,1
SOLTU,1
SPOKESMAN,1
ITSACSLIFE:,1
NASA,1
HAI,1
NGA,1
VP,1
MUKHA,1
JADINETRASH:,1
PLENARY,1
NAMBA,1
BEAT,1
😂😂,1
PATAS,1
NANG,1
MADE,1
BOYMEJO:,1
BATAO,1
OFFICE,1
USKO,1
SUMMARY,1
😜,1
PRESIDENTE,1
PODA,1
HTTPS://TCO/FJLTIQIW82,1
LAHAT,1
